acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,long_term_weighted_avg_time_revenue,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,avg_reward,solver_name,seed,p_net_dataset_dir,v_nets_dataset_dir,run_id,start_run_time,clock_running_time
0.563,0.3406020176493991,0.5971091400322209,6426.646565121576,563,0,0,437,515424.0,307022.0,155023568.44386265,259623506.07377627,0.5956688085925375,24122.0,12.727883260094519,21.367382472431807,19.154529825216095,26643,3725,22797,18,0.3406020176493991,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T054905,207.3554196357727
0.578,0.35404468685444884,0.6002084320275572,6907.749864758207,578,0,0,422,513548.0,309030.0,155030630.21476844,258294655.56000477,0.6017548505689828,22443.0,13.76954952546451,22.882324109967474,20.677299390222718,26695,3746,22627,18,0.35404468685444884,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T055233,207.32641053199768
0.551,0.3369939728359269,0.6010963829905078,6297.420418790162,551,0,0,449,489404.0,294678.0,153310700.0954465,255051776.11069986,0.6021160431872237,24345.0,12.104251386321627,20.102854795645925,18.40167180511179,25522,3407,22085,19,0.3369939728359269,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T055601,208.3703145980835
0.593,0.38248838644434174,0.6375058682785394,6102.715278074512,593,0,0,407,509930.0,323548.0,153501597.3894082,240784602.97770968,0.6344949306767595,25153.0,12.863197232934441,20.273128453862363,18.965912511008952,26650,3498,23152,19,0.38248838644434174,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T055929,248.61944270133972
0.561,0.3451917128923204,0.6043271584876181,6074.421584946228,561,0,0,439,504769.0,305133.0,148373821.63389656,245519036.4193049,0.6045002763640398,24426.0,12.49213952345861,20.665233767297142,18.566561108404837,27209,4100,22956,17,0.3451917128923204,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T060339,207.36582136154175
0.583,0.35877140039328903,0.6065614051824488,6193.535066281651,583,0,0,417,523115.0,316779.0,148818260.5726155,245347394.841009,0.6055628303527905,24028.0,13.183743965373731,21.77105876477443,19.377279031655384,26097,3605,22233,18,0.35877140039328903,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T060707,208.9568588733673
0.584,0.3587540490111126,0.5998070429595409,6333.955224075748,584,0,0,416,527796.0,318148.0,154402826.49729452,257420829.43115678,0.6027859248649099,24377.0,13.051154777043935,21.651392706239488,19.385110001119685,26015,3497,22463,19,0.3587540490111126,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T061036,208.3599672317505
0.572,0.3503379607011958,0.605631621321786,6045.980478404006,572,0,0,428,512101.0,309062.0,149789166.35245925,247327188.80422,0.6035176654605244,24775.0,12.474752774974773,20.670070635721494,18.52073325337878,26706,3979,22727,18,0.3503379607011958,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T061405,208.0050823688507
0.57,0.35441785614237825,0.6166708425748033,6235.804033403156,570,0,0,430,505460.0,309139.0,151985251.70613512,246460901.36440825,0.611599335258972,24373.0,12.683666352110942,20.73852213514955,18.919470385514096,26452,3890,22360,17,0.35441785614237825,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T061733,208.57525777816772
0.576,0.3599733442992913,0.6114826676474664,6257.613825057108,576,0,0,424,505358.0,310542.0,154243923.17383265,252245781.17193303,0.6144990284115419,24649.0,12.598563836261105,20.502170473447197,18.856177661318213,27363,3911,23242,17,0.3599733442992913,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T062102,210.2531497478485
0.556,0.34637734119161245,0.6129174144231031,6400.726648880805,556,0,0,444,496516.0,304511.0,148157619.741644,241725257.35966328,0.6132954426443458,23147.0,13.155527714174623,21.45055514753532,19.55625436305543,27549,4085,23459,17,0.34637734119161245,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T062433,209.48149228096008
0.553,0.3433895660756516,0.6117772142993653,6350.021909330243,553,0,0,447,495946.0,302659.0,153162528.45304546,250356706.4498374,0.6102660370282248,24120.0,12.548051409618575,20.56160862354892,18.898073318948818,27071,4003,23043,17,0.3433895660756516,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T062803,209.59779834747314
0.588,0.36613130494541374,0.6145887481531722,6905.97362790736,588,0,0,412,520830.0,318706.0,167732287.47461396,272917927.6038593,0.6119194362843923,24288.0,13.121953227931488,21.443922924901187,20.02792685583885,25782,3412,22365,19,0.36613130494541374,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T063133,222.43204522132874
0.556,0.3439397434438083,0.6058000808074083,6273.887700053312,556,0,0,444,492797.0,299947.0,154532127.94001314,255087664.78547385,0.6086623903960454,24631.0,12.17762169623645,20.007186066339166,18.45150939628976,25776,3769,22007,18,0.3439397434438083,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T063516,218.15275621414185
0.576,0.37060350769350825,0.6332280052427319,6438.928257948924,576,0,0,424,490070.0,310342.0,157798814.81755427,249197466.80670902,0.6332605546146469,24507.0,12.663402293222344,19.99714367323622,19.102330551171267,26624,3697,22927,18,0.37060350769350825,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T063855,259.0326042175293
0.559,0.34747145387631007,0.6141740218467083,6600.28583865907,559,0,0,441,496048.0,303233.0,156934996.3857967,255522035.7805464,0.6112976969970648,23777.0,12.753206880598897,20.862514194389536,19.353492719257968,26307,3802,22441,18,0.34747145387631007,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T064314,219.9632749557495
0.57,0.3558852510901211,0.6147463979759207,5879.811463302179,570,0,0,430,496834.0,306155.0,146965887.52523795,239067504.92419237,0.6162118534560839,24995.0,12.248649729945988,19.87733546709342,18.128461193248167,27042,3936,23104,17,0.3558852510901211,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T064654,227.068030834198
0.546,0.34145350802559266,0.612665771909519,6418.227544430347,546,0,0,454,483466.0,297031.0,160038503.8203707,261216655.4067033,0.6143782603119972,24935.0,11.912211750551434,19.38905153398837,18.33043929498178,25848,3737,21910,18,0.34145350802559266,pg_cnn2,,dataset/p_net/100-waxman_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None,dataset/v_nets/1000-[8-8]-random-500-0.04-cpu_[0-50]-bw_[0-50],maokami-20231002T044443,20231002T065042,228.78088808059692
