update_time,lr,loss/loss,loss/actor_loss,loss/critic_loss,loss/entropy_loss,value/logprob,value/old_action_logprob,value/value,value/return,value/advantage,value/reward,grad/grad_clipped
1637,0.001,-0.030929543,-0.00012857653,0.002610283,3.6904128,-3.7306633,-3.7306802,0.54234314,0.5437968,1.3969839e-08,0.070202276,0.032560073
1658,0.001,-0.031450957,-0.0018824786,0.0033517436,3.6646466,-3.6100159,-3.6107247,0.56095064,0.558376,-9.313226e-09,0.072493725,0.069397174
1679,0.001,-0.03394458,-0.004577731,0.0034595674,3.6459136,-3.502409,-3.5054495,0.55125135,0.55588806,9.313226e-10,0.07150338,0.097621754
1700,0.001,-0.030045044,-0.00072512776,0.0046031093,3.683195,-3.5426087,-3.5442088,0.5510743,0.54592437,-3.3527613e-08,0.07091959,0.043813452
1721,0.001,-0.032364603,-0.0013815537,0.0030436297,3.7542613,-3.768697,-3.768911,0.54368806,0.5510131,-1.3038516e-08,0.070880696,0.04929981
1742,0.001,-0.030935384,-0.00071575306,0.0018770946,3.6513476,-3.7978237,-3.7961826,0.5388546,0.5314386,-7.450581e-09,0.0693532,0.05468217
1763,0.001,-0.035100266,-0.004737124,0.0029348058,3.6330914,-3.7269127,-3.7259216,0.5459647,0.5500066,-2.2351742e-08,0.070723206,0.10269298
1784,0.001,-0.030103454,-0.0005464805,0.0035534133,3.645799,-3.819059,-3.8178465,0.53627926,0.5355793,1.3969839e-08,0.07028322,0.029066896
1805,0.001,-0.030872047,-0.00047559664,0.0036513007,3.6740475,-3.4338298,-3.4342198,0.54013205,0.5353706,-7.450581e-09,0.07014005,0.03727094
1826,0.001,-0.03186494,-0.0023928192,0.0041259583,3.6636598,-3.5344558,-3.5360937,0.5474899,0.5418434,-1.8626451e-09,0.07065913,0.060915027
1847,0.001,-0.02920326,-0.00014199689,0.004275126,3.658148,-3.526844,-3.527638,0.55921686,0.56162465,1.8626451e-08,0.072133526,0.037240364
1868,0.001,-0.029141415,-0.0012076199,0.0045171194,3.5753312,-3.5550385,-3.5549784,0.56728554,0.5783118,2.2351742e-08,0.073499516,0.10548381
1889,0.001,-0.029936297,-0.0014633238,0.0041957544,3.6160226,-3.7495217,-3.7482467,0.57254994,0.5779708,7.450581e-09,0.0737044,0.046164606
1910,0.001,-0.029230649,0.00023480784,0.003671811,3.6225927,-3.8556418,-3.853558,0.5769317,0.5860477,1.6763806e-08,0.07518205,0.06142807
1931,0.001,-0.030183112,-0.0011489289,0.0032386372,3.6424673,-3.6508005,-3.6507778,0.5458181,0.5404966,1.3969839e-08,0.07109121,0.0549102
1952,0.001,-0.031652544,-0.0038583837,0.003266339,3.5487792,-3.5676446,-3.56741,0.5435355,0.55214834,9.313226e-09,0.071409926,0.12145954
1973,0.001,-0.032015834,-0.0033947602,0.002779023,3.5380177,-3.5924907,-3.5919247,0.5746711,0.57052195,-1.4901161e-08,0.07408624,0.109385036
1994,0.001,-0.031726778,-0.0025153905,0.0018383559,3.5648644,-3.4502287,-3.4511425,0.57891446,0.5742403,0.0,0.07382902,0.08747215
2015,0.001,-0.02824227,-0.0013430109,0.004424726,3.530251,-3.363372,-3.364962,0.5520825,0.55959487,-1.6763806e-08,0.07228725,0.045602694
2036,0.001,-0.02994853,-0.0008403044,0.0020297545,3.613669,-3.6724343,-3.6719155,0.552678,0.54671407,1.4901161e-08,0.071209855,0.041156694
2057,0.001,-0.028860945,-0.00047001988,0.0025371485,3.5287466,-3.5591335,-3.5589805,0.5376619,0.54095465,-4.656613e-09,0.07040388,0.050823964
2078,0.001,-0.028450655,-0.0003147088,0.0024944977,3.5514042,-3.7331345,-3.7328844,0.55205506,0.54562914,1.4901161e-08,0.07076148,0.03444348
2099,0.001,-0.029800907,-0.002770584,0.0043234034,3.4191198,-3.6838853,-3.6811454,0.5867956,0.587334,-3.7252903e-09,0.07569888,0.08534031
2120,0.001,-0.02699904,-0.0014171451,0.0059434776,3.4418216,-3.3567078,-3.3575757,0.5815313,0.5770383,-2.9802322e-08,0.07528918,0.050037265
2141,0.001,-0.025418796,0.0011195131,0.003730113,3.4875655,-3.8582,-3.8549407,0.5498829,0.5488941,1.4901161e-08,0.07027505,0.086819865
2162,0.001,-0.028779935,-0.0021037068,0.0045280475,3.4820442,-3.7192392,-3.7171936,0.5570636,0.5645204,3.7252903e-09,0.072753415,0.08781417
2183,0.001,-0.028050084,-0.00082745776,0.0014382354,3.4801617,-3.2659698,-3.26763,0.55851346,0.55256146,-3.7252903e-09,0.071565256,0.04507412
2204,0.001,-0.026869353,-0.0007399563,0.0039778408,3.4604545,-3.5547025,-3.5541449,0.5721164,0.58010304,-1.1175871e-08,0.07399134,0.04707484
2225,0.001,-0.027185328,-0.0007425826,0.0035113085,3.4170036,-3.551883,-3.5508947,0.5593438,0.5698523,2.2351742e-08,0.073045075,0.05172383
2246,0.001,-0.026914973,-0.0012157084,0.004159445,3.4178274,-3.4164772,-3.4163666,0.5708988,0.57627004,-3.7252903e-09,0.073367156,0.05008441
2267,0.001,-0.026507536,-0.0003097357,0.0039622393,3.4569635,-3.3461785,-3.3476462,0.57060516,0.5554725,5.0640665e-09,0.0732827,0.05656922
2288,0.001,-0.02559119,-0.00024076365,0.0041663414,3.3805928,-3.5309668,-3.530205,0.5551389,0.5679715,-2.6077032e-08,0.0725386,0.051568795
2309,0.001,-0.028295828,-0.0017917044,0.0045760055,3.4685872,-3.4697824,-3.4701574,0.574321,0.5800716,5.5879354e-09,0.07402883,0.069855034
2330,0.001,-0.029214961,-0.0038452782,0.0044646654,3.3891938,-3.5656521,-3.5635645,0.56092423,0.553306,-2.2351742e-08,0.07220632,0.0833733
2351,0.001,-0.025782544,-0.00043608993,0.004681702,3.3917518,-3.3233025,-3.3229003,0.5746413,0.5689277,-7.450581e-09,0.0730937,0.064391874
2372,0.001,-0.027658917,-0.0006168373,0.002419514,3.459715,-3.3636215,-3.3634691,0.5567009,0.5636767,-7.450581e-09,0.07201738,0.04679381
2393,0.001,-0.026160948,-0.0009441972,0.0032794918,3.3281965,-3.242042,-3.2423205,0.55424803,0.55616444,5.5879354e-09,0.07284673,0.07197078
2414,0.001,-0.027921436,-0.0016927496,0.0037207305,3.4453304,-3.5526295,-3.5519218,0.55205053,0.5609992,3.7252903e-09,0.07215603,0.08623298
2435,0.001,-0.025629003,-6.1187893e-06,0.0027331756,3.3447409,-3.2821276,-3.2820172,0.57022536,0.55678564,2.2351742e-08,0.07273878,0.052283887
2456,0.001,-0.024581717,0.0008861879,0.0040730927,3.3734953,-3.499138,-3.4986193,0.5581677,0.5547637,9.313226e-10,0.07224621,0.09120813
2477,0.001,-0.02634976,-0.0014521666,0.004594456,3.411431,-3.3814821,-3.3819392,0.56196195,0.55572134,6.0535967e-09,0.072344884,0.063881665
2498,0.001,-0.0263315,-0.00057784095,0.003400944,3.4078772,-3.3551505,-3.3554573,0.5632868,0.5616965,-7.450581e-09,0.072696686,0.025192672
2519,0.001,-0.027897118,-0.0029071579,0.0020313151,3.2901692,-3.3073814,-3.3074331,0.55252075,0.547068,2.514571e-08,0.071946114,0.1386526
2540,0.001,-0.025302127,-0.0016752379,0.005037019,3.305079,-3.3077824,-3.3078146,0.578984,0.57363504,-1.8626451e-09,0.07433215,0.07683126
2561,0.001,-0.02536424,-0.0009845942,0.0035285722,3.3268723,-3.529125,-3.5272622,0.54067737,0.5464177,-3.3527613e-08,0.07111549,0.04371444
2582,0.001,-0.02602587,-0.00082408264,0.0017994024,3.251599,-3.44986,-3.448822,0.53748596,0.5360199,1.1175871e-08,0.07004844,0.053331286
2603,0.001,-0.024860406,-0.0010066144,0.0035314076,3.2504957,-3.3384864,-3.3378773,0.5606714,0.5619026,-1.8626451e-08,0.07253668,0.06431393
2624,0.001,-0.022846505,-0.00097236596,0.005188901,3.1601007,-2.8712654,-2.8731549,0.5781426,0.57805383,2.4214387e-08,0.0745616,0.06243546
2645,0.001,-0.024712212,-0.00046066009,0.00291889,3.2535203,-3.3278596,-3.327029,0.549631,0.54777443,0.0,0.07163345,0.034070965
2666,0.001,-0.025863126,-0.00045253336,0.0023135378,3.3980098,-3.2055461,-3.2051127,0.56824183,0.56107664,0.0,0.0725601,0.07315854
2687,0.001,-0.026159354,-0.0025716275,0.0028849514,3.218731,-3.215413,-3.21542,0.568025,0.5592427,3.7252903e-09,0.07352528,0.07357629
